Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1419.405751,6.966265141107687e-08,2.992264636608189e-08,3.1117163371060195e-08,217.12329032167275,217.12329032167275,8.867198584137583,-0.23960363077680213
1419.40965725,6.622165037017616e-08,2.7605778562203446e-08,2.8773984147356725e-08,205.89008986632925,205.89008986632925,8.92432648766632,-0.1824757272480646
1419.4135635,6.714288529259522e-08,2.8119008303989396e-08,2.924152377843331e-08,207.56492408734462,207.56492408734462,8.485627019007893,-0.621175195906492
1419.41746975,6.792036326171843e-08,2.844461107447914e-08,2.9580124665515465e-08,207.56492408734456,207.56492408734456,8.485627019008376,-0.6211751959060088
1419.421376,6.823386941416703e-08,2.870780582024692e-08,2.999162518987653e-08,209.25869279518918,209.25869279518918,9.58169571176299,0.4748934968486047
1419.42528225,6.902398038402427e-08,2.917427014001166e-08,3.026913428101305e-08,210.9717006373101,210.9717006373101,8.105075786440324,-1.0017264284740612
1419.4291885,6.966265141107687e-08,2.9308932452503244e-08,3.061963433690676e-08,209.25869279518997,209.25869279518997,9.581695711762535,0.47489349684814997
1419.43309475,7.079457843841373e-08,2.9716660317380252e-08,3.1117163371060195e-08,208.40942274137387,208.40942274137387,10.05767623418177,0.9508740192673848
1419.437001,7.112135136533295e-08,2.999162518987653e-08,3.1117163371060195e-08,210.1127725302779,210.1127725302779,8.072841575281814,-1.0339606396325713
1419.44090725,7.244359600749906e-08,3.047894989627983e-08,3.191537855100758e-08,209.25869279518912,209.25869279518912,10.097701098720762,0.990898883806377
1419.4448135,7.328245331389045e-08,3.076096814740711e-08,3.213660538640315e-08,208.40942274137376,208.40942274137376,9.543716168778275,0.43691395386388976
1419.44871975,7.413102413009177e-08,3.126079367123956e-08,3.2508729738543405e-08,210.112772530278,210.112772530278,8.587337551357109,-0.5194646635572759
1419.452626,7.533555637337184e-08,3.147748314101311e-08,3.28095293113119e-08,206.72515895540317,206.72515895540317,8.959664464881683,-0.14713775003270158
1419.45653225,7.673614893618186e-08,3.191537855100758e-08,3.326595532940047e-08,205.05967973414226,205.05967973414226,8.889185665529993,-0.2176165493843918
1419.4604385,7.780365510398041e-08,3.228494121712638e-08,3.38844156139202e-08,204.23389186096634,204.23389186096634,10.365955159169118,1.2591529442547333
1419.46434475,7.852356346100726e-08,3.2508729738543405e-08,3.396252725904089e-08,203.41268993195456,203.41268993195456,9.320261182154155,0.2134589672397702
1419.468251,7.97994687267977e-08,3.296097121774576e-08,3.443499307633384e-08,202.59603801031096,202.59603801031096,9.283740329190692,0.17693811427630735
1419.47215725,8.10961057853842e-08,3.318944575526104e-08,3.4994516702835694e-08,199.37422462024296,199.37422462024296,11.1152797794648,2.0084775645504145
1419.4760635,8.279421637123345e-08,3.419794425137094e-08,3.5809643710263626e-08,202.59603801031164,202.59603801031164,9.78369985254514,0.6768976376307556
1419.47996975,8.413951416451947e-08,3.467368504525317e-08,3.639150361272071e-08,201.78390053237223,201.78390053237223,10.244576638573903,1.1377744236595184
1419.483876,8.550667128846841e-08,3.507518739525679e-08,3.681289736425313e-08,200.17302848971983,200.17302848971983,10.164770125332808,1.057967910418423
1419.48778225,8.709635899560796e-08,3.5809643710263626e-08,3.749730022454834e-08,200.9762423027799,200.9762423027799,9.707361232710099,0.6005590177957139
1419.4916885,8.851156098308356e-08,3.6140986263961315e-08,3.819442708400464e-08,198.57979657564624,198.57979657564624,11.566896967651502,2.460094752737117
1419.49559475,9.036494737223023e-08,3.689775985701505e-08,3.8815036599064865e-08,198.57979657564624,198.57979657564624,10.578387702621256,1.4715854877068715
